severity,display_ipv4_address,port,protocol,host_name,cve,classe,tipo_solução
6.4,10.0.248.24,445,TCP,web-10-0-248-24,CVE-2018-19095,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
4.1,10.0.248.24,443,TCP,web-10-0-248-24,CVE-2023-39385,SQL Injection Vulnerabilities,Disable Vulnerable Endpoint
6.6,10.1.75.112,8443,TCP,db-10-1-75-112,CVE-2020-25300,IIS Vulnerability Issues,Prevent SQL Injection
8.9,10.1.141.76,443,TCP,print-10-1-141-76,,Cross-Site Scripting Vulnerabilities,Update End-of-Life Packages
4.7,192.168.2.239,8080,TCP,ws-192-168-2-239,CVE-2020-96966,Cross-Site Scripting Vulnerabilities,Apply Entity Encoding
7.5,192.168.10.103,993,TCP,app-192-168-10-103,,Outdated TLS Library Issues,Renew Certificate Update
8.2,172.16.1.136,80,TCP,app-172-16-1-136,,Cross-Site Scripting Vulnerabilities,Update End-of-Life Packages
7.3,10.0.149.123,22,TCP,nas-10-0-149-123,CVE-2022-12671,Sudo Policy Misconfiguration,Remove Unused Packages
6.0,192.168.2.34,53,UDP,fw-192-168-2-34,CVE-2020-36607,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
9.3,10.0.150.142,8080,TCP,web-10-0-150-142,CVE-2022-70901,IIS Vulnerability Issues,Disable Vulnerable Endpoint
6.6,192.168.1.176,636,TCP,fw-192-168-1-176,CVE-2022-58147,Outdated TLS Library Issues,Update Security Patches
7.4,192.168.2.40,23,TCP,web-192-168-2-40,CVE-2021-68257,Stack Overflow Vulnerabilities,Restrict Port Access
8.2,10.0.0.86,23,TCP,db-10-0-0-86,,Stack Overflow Vulnerabilities,Restrict Port Access
9.6,10.0.149.123,135,TCP,nas-10-0-149-123,,Stack Overflow Vulnerabilities,Remove Unused Packages
6.7,10.1.151.109,135,TCP,srv-10-1-151-109,CVE-2018-71110,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
9.1,10.0.58.18,636,TCP,srv-10-0-58-18,CVE-2022-40613,Outdated TLS Library Issues,Update OpenSSL Packages
8.5,10.1.151.109,23,TCP,srv-10-1-151-109,,Stack Overflow Vulnerabilities,Restrict Port Access
6.6,172.16.1.36,445,TCP,gw-172-16-1-36,,Outdated TLS Library Issues,Update Tomcat Patch
8.2,10.1.168.111,22,TCP,fw-10-1-168-111,,SUID Binary Misconfiguration,Update Security Patches
6.9,172.16.0.25,443,TCP,fw-172-16-0-25,,Cross-Site Scripting Vulnerabilities,Prevent SQL Injection
9.5,10.2.67.36,443,TCP,web-10-2-67-36,CVE-2022-53279,Lighttpd Vulnerability Issues,Update Lighttpd Patch
4.6,192.168.10.27,443,TCP,ws-192-168-10-27,,Cross-Site Scripting Vulnerabilities,Prevent SQL Injection
6.1,10.1.21.188,8443,TCP,dc-10-1-21-188,,IIS Vulnerability Issues,Apply Entity Encoding
5.6,192.168.2.42,139,TCP,dc-192-168-2-42,CVE-2018-56340,Outdated Driver Vulnerabilities,Restrict DNS Zone Transfers
5.8,192.168.2.34,443,TCP,fw-192-168-2-34,,Expired TLS Certificate Issues,Update Linux Kernel Packages
9.5,192.168.1.72,8080,TCP,dc-192-168-1-72,,SQL Injection Vulnerabilities,Configure Content Security
6.0,10.1.113.207,8080,TCP,nas-10-1-113-207,CVE-2020-19108,Template Injection Vulnerabilities,Update Lighttpd Patch
4.8,10.0.220.29,8080,TCP,db-10-0-220-29,CVE-2020-89079,Lighttpd Vulnerability Issues,Update Lighttpd Patch
5.8,172.16.1.40,445,TCP,web-172-16-1-40,CVE-2018-41065,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
6.8,10.0.58.211,445,TCP,srv-10-0-58-211,CVE-2022-11792,SUID Binary Misconfiguration,Update Tomcat Patch
7.5,10.1.151.109,80,TCP,srv-10-1-151-109,CVE-2023-49316,Cross-Site Scripting Vulnerabilities,Disable Vulnerable Endpoint
9.1,172.16.1.1,22,TCP,app-172-16-1-1,CVE-2022-30866,IIS Vulnerability Issues,Disable Vulnerable Endpoint
10.0,10.0.143.51,22,TCP,nas-10-0-143-51,,FreeBSD Kernel Vulnerabilities,Restrict Port Access
7.6,10.1.249.237,8080,TCP,gw-10-1-249-237,CVE-2020-87110,Template Injection Vulnerabilities,Prevent SQL Injection
7.7,192.168.10.42,80,TCP,fw-192-168-10-42,CVE-2022-66531,IIS Vulnerability Issues,Disable Vulnerable Endpoint
8.8,10.0.158.21,23,TCP,gw-10-0-158-21,CVE-2021-39146,Stack Overflow Vulnerabilities,Restrict Port Access
7.0,192.168.1.58,636,TCP,db-192-168-1-58,,Outdated TLS Library Issues,SNMP Security Configuration
8.9,10.0.149.123,3389,TCP,nas-10-0-149-123,,SUID Binary Misconfiguration,Implement Micro-Segmentation
8.0,10.1.98.98,995,TCP,print-10-1-98-98,CVE-2022-98835,IIS Vulnerability Issues,Renew Certificate Update
5.8,10.1.98.98,8080,TCP,print-10-1-98-98,CVE-2020-45956,Outdated TLS Library Issues,Prevent SQL Injection
4.4,10.1.172.221,161,UDP,web-10-1-172-221,,SNMP Default Community Strings,Update OpenSSL Packages
7.5,192.168.1.40,8443,TCP,fw-192-168-1-40,CVE-2020-34749,Outdated TLS Library Issues,Apply Entity Encoding
3.5,10.2.67.30,139,TCP,ws-10-2-67-30,CVE-2018-15559,Outdated Driver Vulnerabilities,Configure Content Security
8.3,192.168.2.109,993,TCP,nas-192-168-2-109,,Outdated TLS Library Issues,Update Cipher Suites
8.3,10.0.248.24,445,TCP,web-10-0-248-24,CVE-2021-86200,FreeBSD Kernel Vulnerabilities,Restrict Port Access
4.6,10.2.130.127,22,TCP,ws-10-2-130-127,CVE-2023-87193,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
6.9,192.168.1.225,995,TCP,print-192-168-1-225,,Outdated TLS Library Issues,Renew Certificate Update
8.9,192.168.10.19,995,TCP,nas-192-168-10-19,,Outdated TLS Library Issues,Renew Certificate Update
8.4,10.2.67.36,8443,TCP,web-10-2-67-36,CVE-2022-40613,Outdated TLS Library Issues,SNMP Security Configuration
9.0,192.168.2.42,23,TCP,dc-192-168-2-42,,FreeBSD Kernel Vulnerabilities,Restrict Port Access
5.3,10.1.98.98,53,UDP,print-10-1-98-98,CVE-2020-51552,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
4.8,10.1.6.190,445,TCP,app-10-1-6-190,,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
9.9,10.1.11.170,445,TCP,web-10-1-11-170,CVE-2021-82536,Stack Overflow Vulnerabilities,Restrict Port Access
5.5,10.1.113.207,443,TCP,nas-10-1-113-207,CVE-2020-70981,Cross-Site Scripting Vulnerabilities,Prevent SQL Injection
8.1,192.168.10.55,8080,TCP,dc-192-168-10-55,,SQL Injection Vulnerabilities,Configure Content Security
4.8,10.1.162.109,445,TCP,app-10-1-162-109,CVE-2018-25420,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
8.7,10.2.130.127,443,TCP,ws-10-2-130-127,,Lighttpd Vulnerability Issues,Configure Content Security
5.0,10.2.104.125,139,TCP,dc-10-2-104-125,CVE-2018-65615,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
9.1,192.168.2.253,22,TCP,ws-192-168-2-253,,Template Injection Vulnerabilities,Disable Vulnerable Endpoint
9.0,10.0.174.185,8080,TCP,ws-10-0-174-185,CVE-2022-59695,Template Injection Vulnerabilities,Update End-of-Life Packages
8.7,10.1.141.76,443,TCP,print-10-1-141-76,CVE-2022-44663,Outdated TLS Library Issues,Renew Certificate Update
6.7,192.168.2.208,80,TCP,srv-192-168-2-208,CVE-2023-61126,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
6.4,192.168.2.253,443,TCP,ws-192-168-2-253,,Expired TLS Certificate Issues,Update Linux Kernel Packages
5.6,172.16.0.106,443,TCP,dc-172-16-0-106,CVE-2023-20772,Expired TLS Certificate Issues,Restrict Port Access
6.6,192.168.1.72,21,TCP,dc-192-168-1-72,CVE-2023-31282,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
8.5,192.168.10.42,80,TCP,fw-192-168-10-42,CVE-2023-30142,Cross-Site Scripting Vulnerabilities,Disable Vulnerable Endpoint
8.0,192.168.1.17,3389,TCP,fw-192-168-1-17,,SUID Binary Misconfiguration,Update Tomcat Patch
8.0,10.2.67.136,3389,TCP,print-10-2-67-136,CVE-2022-87993,Stack Overflow Vulnerabilities,Remove Unused Packages
9.1,172.16.1.136,443,TCP,app-172-16-1-136,CVE-2023-98208,Lighttpd Vulnerability Issues,Restrict Port Access
6.8,192.168.1.184,995,TCP,fw-192-168-1-184,CVE-2022-65069,Outdated TLS Library Issues,SNMP Security Configuration
7.2,192.168.2.192,993,TCP,print-192-168-2-192,CVE-2022-66179,Outdated TLS Library Issues,Renew Certificate Update
8.6,10.1.63.50,995,TCP,web-10-1-63-50,CVE-2022-49529,Outdated TLS Library Issues,Update Cipher Suites
8.9,10.0.103.187,445,TCP,fw-10-0-103-187,CVE-2022-97500,Sudo Policy Misconfiguration,Remove Unused Packages
7.4,10.0.186.118,443,TCP,nas-10-0-186-118,CVE-2022-13534,SQL Injection Vulnerabilities,Configure Content Security
4.1,172.16.1.40,443,TCP,web-172-16-1-40,CVE-2021-13149,Cross-Site Scripting Vulnerabilities,Disable Vulnerable Endpoint
5.4,192.168.10.54,443,TCP,app-192-168-10-54,CVE-2023-96776,Expired TLS Certificate Issues,Update Security Patches
8.5,10.1.217.48,995,TCP,ws-10-1-217-48,,Outdated TLS Library Issues,Renew Certificate Update
8.1,192.168.2.42,443,TCP,dc-192-168-2-42,CVE-2022-53357,Outdated TLS Library Issues,Renew Certificate Update
9.8,10.2.32.169,9090,TCP,dc-10-2-32-169,CVE-2022-22735,Cross-Site Scripting Vulnerabilities,Update End-of-Life Packages
9.5,192.168.10.103,445,TCP,app-192-168-10-103,CVE-2021-77488,FreeBSD Kernel Vulnerabilities,Restrict Port Access
7.3,10.0.149.123,22,TCP,nas-10-0-149-123,,Sudo Policy Misconfiguration,Update Tomcat Patch
7.2,10.1.151.109,443,TCP,srv-10-1-151-109,,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
5.1,192.168.2.216,8080,TCP,nas-192-168-2-216,CVE-2020-90753,Outdated TLS Library Issues,Apply Entity Encoding
5.4,10.1.11.170,8080,TCP,web-10-1-11-170,,Outdated TLS Library Issues,Prevent SQL Injection
7.1,192.168.2.238,135,TCP,dc-192-168-2-238,CVE-2022-60328,FreeBSD Kernel Vulnerabilities,Update Tomcat Patch
5.2,172.16.1.36,162,UDP,gw-172-16-1-36,CVE-2019-58487,SNMP Default Community Strings,Update OpenSSL Packages
8.1,10.1.75.112,8443,TCP,db-10-1-75-112,CVE-2022-40162,Outdated TLS Library Issues,Update Cipher Suites
8.7,192.168.10.55,23,TCP,dc-192-168-10-55,,Stack Overflow Vulnerabilities,Restrict Port Access
6.2,192.168.10.148,443,TCP,web-192-168-10-148,CVE-2023-85246,Expired TLS Certificate Issues,Update Security Patches
7.0,172.16.1.40,995,TCP,web-172-16-1-40,,Outdated TLS Library Issues,Renew Certificate Update
8.1,10.0.172.168,8443,TCP,ws-10-0-172-168,,Outdated TLS Library Issues,Update Cipher Suites
8.0,172.16.1.36,995,TCP,gw-172-16-1-36,CVE-2022-74722,Outdated TLS Library Issues,SNMP Security Configuration
7.4,172.16.0.230,8443,TCP,print-172-16-0-230,CVE-2022-13794,Outdated TLS Library Issues,Update Cipher Suites
7.6,10.1.75.112,8443,TCP,db-10-1-75-112,,Outdated TLS Library Issues,Renew Certificate Update
7.5,192.168.1.149,22,TCP,print-192-168-1-149,,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
5.1,192.168.1.172,21,TCP,fw-192-168-1-172,CVE-2023-29435,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
7.8,10.1.98.98,8080,TCP,print-10-1-98-98,CVE-2022-97747,Lighttpd Vulnerability Issues,Update Cipher Suites
5.7,192.168.10.55,8443,TCP,dc-192-168-10-55,CVE-2020-28953,Cross-Site Scripting Vulnerabilities,Prevent SQL Injection
8.6,172.16.0.31,8080,TCP,print-172-16-0-31,CVE-2022-46559,Cross-Site Scripting Vulnerabilities,Update Vulnerable Dependencies
7.2,10.1.19.242,993,TCP,db-10-1-19-242,,Outdated TLS Library Issues,Renew Certificate Update
5.1,172.16.0.72,8443,TCP,dc-172-16-0-72,CVE-2023-60246,Expired TLS Certificate Issues,Update Security Patches
6.6,192.168.2.197,80,TCP,fw-192-168-2-197,,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
6.9,192.168.1.17,995,TCP,fw-192-168-1-17,CVE-2022-25095,Outdated TLS Library Issues,Update Cipher Suites
4.2,192.168.1.103,443,TCP,srv-192-168-1-103,CVE-2021-93317,Template Injection Vulnerabilities,Disable Vulnerable Endpoint
7.3,192.168.1.68,3389,TCP,gw-192-168-1-68,CVE-2022-15014,Sudo Policy Misconfiguration,Remove Unused Packages
8.8,10.2.171.166,22,TCP,app-10-2-171-166,CVE-2021-94768,FreeBSD Kernel Vulnerabilities,Restrict Port Access
9.8,10.1.225.63,22,TCP,fw-10-1-225-63,CVE-2021-89363,Stack Overflow Vulnerabilities,Restrict Port Access
7.1,10.0.23.56,995,TCP,web-10-0-23-56,CVE-2022-34267,Outdated TLS Library Issues,SNMP Security Configuration
6.1,192.168.1.184,8443,TCP,fw-192-168-1-184,CVE-2020-41417,IIS Vulnerability Issues,Apply Entity Encoding
7.2,192.168.1.183,636,TCP,app-192-168-1-183,CVE-2022-16764,Outdated TLS Library Issues,Renew Certificate Update
8.6,192.168.10.103,23,TCP,app-192-168-10-103,,FreeBSD Kernel Vulnerabilities,Restrict Port Access
5.3,172.16.1.63,21,TCP,dc-172-16-1-63,,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
7.3,10.2.130.127,8080,TCP,ws-10-2-130-127,,IIS Vulnerability Issues,Update Lighttpd Patch
7.8,172.16.0.57,389,TCP,dc-172-16-0-57,,Cross-Site Scripting Vulnerabilities,Update Vulnerable Dependencies
5.0,192.168.1.149,8080,TCP,print-192-168-1-149,CVE-2021-59639,Cross-Site Scripting Vulnerabilities,Disable Vulnerable Endpoint
9.3,10.1.141.76,22,TCP,print-10-1-141-76,CVE-2022-12671,Cross-Site Scripting Vulnerabilities,Update End-of-Life Packages
5.7,10.0.158.21,8080,TCP,gw-10-0-158-21,CVE-2020-37425,Outdated TLS Library Issues,Apply Entity Encoding
7.8,10.1.18.138,443,TCP,web-10-1-18-138,CVE-2022-43082,Outdated TLS Library Issues,Renew Certificate Update
5.6,192.168.1.2,995,TCP,ws-192-168-1-2,CVE-2022-80282,Outdated TLS Library Issues,Renew Certificate Update
6.0,192.168.1.225,53,UDP,print-192-168-1-225,CVE-2020-15017,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
