definition.description,definition.solution,severity,asset.display_ipv4_address,port,protocol,asset.host_name,definition.cve
VirtIO network driver version 2.1.4 on Ubuntu 22.04 LTS contains a compatibility flaw (CVE-2018-44867). An unprivileged local attacker can exfiltrate confidential data from the host by exploiting weak entropy in session token generation. Affected driver binary: C:\inetpub\wwwroot\. Port: 139/TCP.,Enable DNSSEC signing for all zones. Update BIND/Unbound to version 3.0.0 and apply current security advisories.,6.4,10.0.248.24,445,TCP,web-10-0-248-24,CVE-2018-19095
End-of-life python3-lib (2.3.1) installed on Red Hat Enterprise Linux 9 (CVE-2023-93313). No security patches are available for this version; an attacker can crash the service and trigger a denial of service. Binary path: /etc/mysql/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.1,10.0.248.24,443,TCP,web-10-0-248-24,CVE-2023-39385
"IIS 9.0.0 on Windows 11 Pro is configured to accept weak cryptographic ciphers (CVE-2020-91681). Supported suites include DES ciphers, allowing a MITM attacker to inject malicious payloads into database queries. Config file: /var/www/html/. Port: 443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,6.6,10.1.75.112,8443,TCP,db-10-1-75-112,CVE-2020-25300
"Deserialization RCE in Jetty (1.0.1) on Red Hat Enterprise Linux 9 (CVE-2022-14586). Untrusted user data is deserialized without validation at /etc/nginx/, allowing an attacker to perform man-in-the-middle attacks. Port: 443/TCP.",Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,8.9,10.1.141.76,443,TCP,print-10-1-141-76,
CVE-2020-97993: Nginx on CentOS 7 offers export-grade cipher suites. An attacker can read sensitive memory contents through reflected JavaScript payloads in query parameters. Listening on port 8443/TCP.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at C:\Windows\System32\.,4.7,192.168.2.239,8080,TCP,ws-192-168-2-239,CVE-2020-96966
"NSS version 6.0.0 on Red Hat Enterprise Linux 9 is affected by CVE-2022-40162. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to bypass authentication controls through a race condition in the kernel scheduler. Affected path: /home/user/.ssh/. Port: 995/TCP.",Generate a new CSR and obtain a renewed certificate from Let. Update the certificate at C:\Windows\System32\.,7.5,192.168.10.103,993,TCP,app-192-168-10-103,
"Deserialization RCE in Jetty (2.0.0) on Alpine Linux 3.17 (CVE-2022-21727). Untrusted user data is deserialized without validation at /home/user/.ssh/, allowing an attacker to inject malicious payloads into database queries. Port: 443/TCP.",Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,8.2,172.16.1.136,80,TCP,app-172-16-1-136,
CVE-2022-45305: Sudo policy misconfiguration on CentOS 8 Stream (version 9.0.0). An unprivileged user can crash the service and trigger a denial of service via the sudo NOPASSWD rule at C:\inetpub\wwwroot\. Port: 445/TCP.,Disable and stop unnecessary services: 'systemctl disable --now telnet'. Remove associated packages.,7.3,10.0.149.123,22,TCP,nas-10-0-149-123,CVE-2022-12671
"DNSSEC not configured on Debian 12 (Bookworm) running dnsmasq 6.0.0 (CVE-2020-53871). DNS responses are unsigned and can be spoofed, allowing an attacker to exfiltrate confidential data from the host. Port: 53/UDP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.0,192.168.2.34,53,UDP,fw-192-168-2-34,CVE-2020-36607
IIS 9.0.0 on Fedora 37 is affected by a critical RCE vulnerability (CVE-2022-79545). An unauthenticated remote attacker can forge authentication tokens through a race condition in the kernel scheduler. Vulnerable endpoint: /var/www/html/. Port: 80/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,9.3,10.0.150.142,8080,TCP,web-10-0-150-142,CVE-2022-70901
CVE-2022-18855: BoringSSL 2.3.1 on Debian 10 (Buster) ships with a vulnerable TLS stack. An attacker via a heap buffer overflow in the DNS response handler could forge authentication tokens. Binaries located at /usr/share/snmp/. Listening on port 8443/TCP.,"Use Windows Update / WSUS to apply KB5026361 and restart the system. Additionally, verify patch 26.",6.6,192.168.1.176,636,TCP,fw-192-168-1-176,CVE-2022-58147
"Stack-based buffer overflow in Windows NT kernel (version 1.3.7) on Oracle Linux 8 — CVE-2021-43776. The vulnerability exists in the strncpy call at C:\Program Files\, enabling an attacker to gain root-level access to the system.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",7.4,192.168.2.40,23,TCP,web-192-168-2-40,CVE-2021-68257
"Stack-based buffer overflow in Windows NT kernel (version 3.0.0) on Fedora 37 — CVE-2021-74486. The vulnerability exists in the memcpy call at /usr/share/snmp/, enabling an attacker to execute arbitrary code with elevated privileges.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.2,10.0.0.86,23,TCP,db-10-0-0-86,
Windows NT kernel 4.0.0 on CentOS 7 is affected by a local privilege escalation (CVE-2022-97275). A low-privileged attacker can enumerate internal network hosts via an integer overflow in the parsing routine. Affected path: /opt/app/. Port: 3389/TCP.,Disable and stop unnecessary services: 'systemctl disable --now telnet'. Remove associated packages.,9.6,10.0.149.123,135,TCP,nas-10-0-149-123,
CVE-2018-42716: VirtIO network driver on Debian 11 (Bullseye) fails to validate DMA buffer boundaries (version 9.0.0). An attacker can enumerate internal network hosts via SQL metacharacter injection in the login form. Driver path: /usr/share/snmp/; service port 139/TCP.,Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,6.7,10.1.151.109,135,TCP,srv-10-1-151-109,CVE-2018-71110
CVE-2022-10088: GnuTLS 2.2.0 on Debian 11 (Bullseye) ships with a vulnerable TLS stack. An attacker through a race condition in the kernel scheduler could perform man-in-the-middle attacks. Binaries located at /etc/openssl/. Listening on port 636/TCP.,Upgrade OpenSSL to version 3.0.0 or later. Apply vendor security advisory and restart dependent services.,9.1,10.0.58.18,636,TCP,srv-10-0-58-18,CVE-2022-40613
Windows NT kernel 2.0.0 on Windows Server 2016 contains a heap-based buffer overflow (CVE-2021-72908). A local or remote attacker can inject malicious payloads into database queries through reflected JavaScript payloads in query parameters. Affected subsystem: IPC mechanism. Port: 23/TCP.,Configure iptables/nftables to drop inbound traffic on ports 137 from untrusted sources.,8.5,10.1.151.109,23,TCP,srv-10-1-151-109,
Linux kernel 3.0.0 on Oracle Linux 8 is affected by a local privilege escalation (CVE-2022-39864). A low-privileged attacker can exfiltrate confidential data from the host by sending a malformed TLS ClientHello. Affected path: /var/www/html/. Port: 445/TCP.,Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,6.6,172.16.1.36,445,TCP,gw-172-16-1-36,
